股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,原因
GPRE,US,"Green Plains, Inc. - Common Stock",Chemicals,周期,利润波动、ROE波动、资本开支周期,-,1.49,-12.6%,2.8%,-61447000.00,51.1%,-,-0.88,未分红/不适用,-17.0%,4,6,80,Medium,低,排除,0,10年内亏损年份过多；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等
GPRO,US,"GoPro, Inc. - Class A Common Stock",Consumer Electronics,科技,营收增长、自由现金流、研发投入效率,-,2.38,-103.0%,133.9%,-46323500.00,82.1%,31.3%,-9.82,未分红/不适用,-15.9%,4,6,80,Medium,中,排除,0,科技公司营收增长转负；科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；资产负债率偏高；商誉占比偏高；利息覆盖倍数过低；近5年营收明显下滑；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GRAB,US,Grab Holdings Limited - Class A Ordinary Shares,Software - Application,科技,营收增长、自由现金流、研发投入效率,88.63,2.23,-7.5%,12.8%,-45750000.00,43.6%,7.5%,4.79,未分红/不适用,33.0%,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等
GRAL,US,"GRAIL, Inc. - Common Stock",Diagnostics & Research,通用,ROE、现金流、资产负债率,-,0.93,-48.4%,46.1%,-518784750.00,11.8%,-,-,未分红/不适用,38.4%,4,0,80,Medium,低,排除,0,PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等
GRAN,US,Grande Group Limited - Class A Ordinary Shares,Capital Markets,金融,杠杆、资产质量、资本约束,-,2.96,-5.5%,202.7%,654994.00,55.0%,-,-,未分红/不适用,5.9%,3,0,60,Medium,高,排除,0,金融行业需专项资产质量与资本约束分析；10年ROE波动较大；长期ROE低于5%；高杠杆行业，需资产负债表专项分析；数据质量为Medium，筛选结果置信度中等
GRCE,US,"Grace Therapeutics, Inc. - Common Stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,0.52,-26.7%,24.3%,-14142500.00,7.5%,11.3%,-,未分红/不适用,-,4,0,80,Medium,低,排除,0,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；数据质量为Medium，筛选结果置信度中等
GRDX,US,GridAI Technologies Corp.  - Common Stock,Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,-,-257.5%,266.6%,-12877852.00,40.6%,49.7%,-,未分红/不适用,-,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；商誉占比过高；数据质量为Medium，筛选结果置信度中等
GREE,US,Greenidge Generation Holdings Inc. - Class A Common Stock,Capital Markets,金融,杠杆、资产质量、资本约束,4.36,-0.51,164.5%,275.9%,-53131000.00,186.5%,-,2.19,未分红/不适用,-13.2%,4,6,80,Medium,高,排除,0,金融行业需专项资产质量与资本约束分析；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年自由现金流多次为负；利息覆盖倍数偏低；近5年营收增长偏弱；高杠杆行业，需资产负债表专项分析；数据质量为Medium，筛选结果置信度中等
GRI,US,"GRI Bio, Inc. - Common Stock",Biotechnology,科技,营收增长、自由现金流、研发投入效率,-,0.18,-1309.5%,2489.8%,-6758333.33,30.7%,-,-,未分红/不适用,-,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；PB低但近5年出现亏损；PB低但近5年经营现金流多次为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；数据质量为Medium，筛选结果置信度中等
GRNQ,US,Greenpro Capital Corp. - Common Stock,Consulting Services,通用,ROE、现金流、资产负债率,-,3.88,-33.0%,44.3%,-1813518.25,29.5%,0.0%,-3362.64,未分红/不适用,-17.4%,4,6,80,Medium,低,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等
